Product Name,Price,Description
"Motorola G8 Power Lite (Arctic Blue, 64 GB)","₹9,499","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
16.51 cm (6.5 inch) HD+ Display
16MP + 2MP + 2MP | 8MP Front Camera
5000 mAh Lithium-ion Battery
MediaTek Helio P35 Processor
1 Year for Handset and 6 Months for In-box Accessories"
"Motorola One Macro (Space Blue, 64 GB)","₹9,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) HD+ Display
13MP + 2MP + 2MP | 8MP Front Camera
4000 mAh Battery
MediaTek Helio P70 Processor
Dedicated Macro Camera
Quad Sensor AI System with Laser Autofocus
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Lenovo A6 Note (Black, 32 GB)","₹6,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.46 cm (6.088 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4000 mAh Battery
MediaTek P22 Octa Core Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto X (2nd Generation) (Black, 32 GB)","₹24,999","2 GB RAM | 32 GB ROM
13.21 cm (5.2 inch) Full HD Display
13MP Rear Camera | 2MP Front Camera
2300 mAh Li-Ion Battery
Qualcomm Snapdragon 801 MSM8974-AC Processor
1 Year Manufacturer Warranty"
"Moto X Play(With Turbo Charger) (White, 16 GB)","₹17,499","2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
21MP Rear Camera | 5MP Front Camera
3630 mAh Li-Ion Battery
Qualcomm Snapdragon 615 Processor
Brand Warranty of 1 Year"
"Moto X (2nd Generation) (Black Leather, 16 GB)","₹23,999","2 GB RAM | 16 GB ROM
13.21 cm (5.2 inch) Full HD Display
13MP Rear Camera | 2MP Front Camera
2300 mAh Li-Ion Battery
Qualcomm Snapdragon 801 MSM8974-AC Processor
1 Year Manufacturer Warranty"
"Moto M (Gold, 64 GB)","₹16,990","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
16MP Rear Camera | 8MP Front Camera
3050 mAh Li-Polymer Battery
MediaTek Helio P15 64-bit Octa Core 2.2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G8 Plus (Crystal Pink, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP + 16MP | 25MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 665 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories"
"Moto E6s (Polished Graphite, 64 GB)","₹7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G8 Plus (Cosmic Blue, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP + 16MP | 25MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 665 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories"
"Moto E6s (Rich Cranberry, 64 GB)","₹7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G7 (Black, 64 GB)","₹9,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) Full HD+ Display
12MP + 5MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 632 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Lenovo A6 Note (Blue, 32 GB)","₹6,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
15.5 cm (6.102 inch) HD+ Display
13MP + 2MP | 5MP Front Camera
4000 mAh Battery
MediaTek P22 Octa Core Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Motorola One Power (Black, 64 GB)","₹18,999","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
15.75 cm (6.2 inch) Full HD+ Display
16MP + 5MP | 12MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 636 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5s Plus (Blush Gold, 64 GB)","₹16,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
13MP + 13MP | 8MP Front Camera
3000 mAh Lithium-ion Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5s Plus (Lunar Grey, 64 GB)","₹16,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
13MP + 13MP | 8MP Front Camera
3000 mAh Lithium-ion Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G4 Plus (Black, 16 GB)","₹7,841","2 GB RAM | 16 GB ROM
13.97 cm (5.5 inch) Display
16MP Rear Camera
3000 mAh Battery
Qualcomm Octa Core 1.5GHz Processor
1 Year Manufacturer Warranty"
"Moto G7 Power (Ceramic Black, 64 GB)","₹15,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) HD+ Display
12MP Rear Camera | 8MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 632 Processor
1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories"
"Moto X4 (Sterling Blue, 64 GB)","₹23,999","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.21 cm (5.2 inch) Full HD Display
12MP + 8MP | 16MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 630 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5 (Lunar Grey, 16 GB)","₹5,450","3 GB RAM | 16 GB ROM | Expandable Upto 128 GB
12.7 cm (5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
2800 mAh Battery
1 Year Manufacturer Warranty"
"Moto G5 Plus (Fine Gold, 16 GB)","₹14,999","3 GB RAM | 16 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
12MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto E5 Plus (Black, 32 GB)","₹11,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
15.24 cm (6 inch) HD+ Display
12MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 430 Processor
1 Year Manufacturer Warranty for device and 6 months Manufacturer Warranty for In-Box Accessories including Batteries from the date of purchase."
"Moto G6 Play (Fine Gold, 32 GB)","₹12,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) HD+ Display
13MP Rear Camera | 8MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 430 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto E4 Plus (Fine Gold, 32 GB)","₹9,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
5000 mAh Li-Ion Polymer Battery
MediaTek MTK6737 1.3GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto X4 (Sterling Blue, 64 GB)","₹24,999","6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.21 cm (5.2 inch) Full HD Display
12MP + 8MP | 16MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 630 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto X4 (Super Black, 64 GB)","₹24,999","6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.21 cm (5.2 inch) Full HD Display
12MP + 8MP | 16MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 630 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5 Plus (Lunar Grey, 32 GB)","₹16,999","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
12MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 625 Octa Core 2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto E5 (Fine Gold, 16 GB)","₹10,999","2 GB RAM | 16 GB ROM
14.48 cm (5.7 inch) Display
13MP Rear Camera
4000 mAh Battery
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G (2nd Generation) (Black, 16 GB)","₹8,999","1 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 2MP Front Camera
2070 mAh Battery
Qualcomm Snapdragon 400 Processor
1 Year Manufacturer Warranty"
"Moto G (2nd Generation) (White, 16 GB)","₹8,999","1 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 2MP Front Camera
2070 mAh Battery
Qualcomm Snapdragon 400 Processor
1 Year Manufacturer Warranty"
"Moto E4 Plus (Oxford Blue, 32 GB)","₹9,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
5000 mAh Li-Ion Polymer Battery
MediaTek MTK6737 1.3GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G6 Plus (Indigo Black, 64 GB)","₹11,510","6 GB RAM | 64 GB ROM
14.99 cm (5.9 inch) Full HD+ Display
12MP + 5MP | 16MP Front Camera
3200 mAh Battery
Qualcomm Snapdragon 630 Processor
1 Year Warranty"
"Moto G5 Plus (Fine Gold, 32 GB)","₹16,999","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
12MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 625 Octa Core 2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G (3rd Generation) (Black, 16 GB)","₹10,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
2470 mAh Battery
Qualcomm Snapdragon 410 MSM8916 Processor
Brand Warranty of 1 Year"
"Moto E4 Plus (Iron Gray, 32 GB)","₹9,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
5000 mAh Li-Ion Polymer Battery
MediaTek MTK6737 1.3GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G (3rd Generation) (Black, 8 GB)","₹8,999","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
2470 mAh Battery
Qualcomm Snapdragon 410 MSM8916 Processor
Brand Warranty of 1 Year"
"Moto G5s (Fine Gold, 32 GB)","₹8,390","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
16MP Rear Camera | 5MP Front Camera
3000 mAh Polymer Battery
Qualcomm Snapdragon 430 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5s Plus (Lunar Grey, 32 GB)","₹9,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
13MP + 13MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 625 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G4 (White, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 256 GB
13.97 cm (5.5 inch) HD Display
13MP Rear Camera
3000 mAh Battery
Qualcomm MSM8952 Snapdragon 617 Processor
1 Year Warranty"
"Moto Z2 Force (Super Black, 64 GB)","₹14,999","6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.97 cm (5.5 inch) Quad HD Display
12MP + 12MP | 5MP Front Camera
2730 mAh Battery
Qualcomm Snapdragon 835 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G4 Plus (White, 32 GB)","₹6,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Display
16MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Octa Core 1.5GHz Processor
1 Year Manufacturing Warranty"
"Moto G4 (Black, 16 GB)","₹6,399","2 GB RAM | 16 GB ROM
13.97 cm (5.5 inch) Display
13MP Rear Camera
3000 mAh Battery
1 Year Manufacturing Warranty"
"Moto X4 (Super Black, 32 GB)","₹6,599","3 GB RAM | 32 GB ROM | Expandable Upto 2 TB
13.21 cm (5.2 inch) Full HD Display
12MP + 8MP | 16MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 630 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G4 Plus (White, 16 GB)","₹5,999","2 GB RAM | 16 GB ROM
13.97 cm (5.5 inch) Display
16MP Rear Camera
3000 mAh Battery
Qualcomm Dual Core 1.5GHz Processor
1 Year Manufacturer Warranty"
"Moto X (2nd Generation) (Black, 16 GB)","₹7,999","2 GB RAM | 16 GB ROM
13.21 cm (5.2 inch) Full HD Display
13MP Rear Camera | 2MP Front Camera
2300 mAh Li-Ion Battery
Qualcomm Snapdragon 801 MSM8974-AC Processor
1 Year Manufacturer Warranty"
"Moto G6 Play (Indigo Black, 32 GB)","₹12,999","3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
14.48 cm (5.7 inch) HD+ Display
13MP Rear Camera | 8MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 430 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto M (Grey, 64 GB)","₹16,999","4 GB RAM | 64 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
16MP Rear Camera | 8MP Front Camera
3050 mAh Li-Polymer Battery
Mediatek Helio P15 64-bit Octa Core 2.2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto M (Silver, 32 GB)","₹14,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.97 cm (5.5 inch) Full HD Display
16MP Rear Camera | 8MP Front Camera
3050 mAh Li-Polymer Battery
MediaTek Helio P15 64-bit Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto C (Starry Black, 16 GB)","₹4,990","1 GB RAM | 16 GB ROM
12.7 cm (5 inch) Display
5MP Rear Camera
2350 mAh Battery
MT6580m 64-bit Processor
1 Year Warranty"
"Moto C (Pearl White, 16 GB)","₹5,499","1 GB RAM | 16 GB ROM
12.7 cm (5 inch) Display
5MP Rear Camera | 2MP Front Camera
2350 mAh Battery
1 Year Motorola India Warranty"
"Moto C Plus (Starry Black, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 2MP Front Camera
4000 mAh Battery
Mediatek MTK6737 Quad Core 1.3Ghz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto C Plus (Fine Gold, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
8MP Rear Camera | 2MP Front Camera
4000 mAh Battery
Mediatek MTK6737 Quad Core 1.3Ghz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto Z2 Play (Lunar Gray, 64 GB)","₹10,499","4 GB RAM | 64 GB ROM
13.97 cm (5.5 inch) Full HD Display
12MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 626 Octa Core 2.2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G8 Plus (Crystal Pink, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP + 16MP | 25MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 665 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories"
"Moto E6s (Polished Graphite, 64 GB)","₹7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G8 Plus (Cosmic Blue, 64 GB)","₹13,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
16.0 cm (6.3 inch) Full HD+ Display
48MP + 5MP + 16MP | 25MP Front Camera
4000 mAh Battery
Qualcomm Snapdragon 665 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Battery and Accessories"
"Moto G7 (Black, 64 GB)","₹9,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) Full HD+ Display
12MP + 5MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 632 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto E6s (Caribbean Blue, 64 GB)","₹7,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.49 cm (6.1 inch) HD+ Display
13MP + 2MP | 8MP Front Camera
3000 mAh Battery
MediaTek Helio P22 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Virat FanBox Moto G Turbo Virat Kohli (Black, 16 GB)","₹16,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
12.7 cm (5 inch) HD Display
13MP Rear Camera | 5MP Front Camera
2470 mAh Li-Ion Battery
Qualcomm Snapdragon Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto Z2 Play (Fine Gold, 64 GB)","₹12,599","4 GB RAM | 64 GB ROM
13.97 cm (5.5 inch) Full HD Display
12MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 626 Octa Core 2.2GHz Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto E5 Plus (Fine Gold, 32 GB)","₹11,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
15.24 cm (6 inch) HD+ Display
12MP Rear Camera | 5MP Front Camera
5000 mAh Battery
Qualcomm Snapdragon 430 Processor
1 Year Manufacturer Warranty for device and 6 months Manufacturer Warranty for In-Box Accessories including Batteries from the date of purchase."
"Moto E (1st Gen) (Black, 4 GB)","₹4,999","1 GB RAM | 4 GB ROM | Expandable Upto 32 GB
10.92 cm (4.3 inch) quarter HD Display
5MP Rear Camera
1980 mAh Li-Ion Battery
Qualcomm Snapdragon 200 Processor
1 Year Manufacturer Warranty"
"Moto G (Black, 16 GB)","₹9,999","1 GB RAM | 16 GB ROM
11.43 cm (4.5 inch) HD Display
5MP Rear Camera | 1.3MP Front Camera
2070 mAh Battery
Qualcomm Snapdragon 400 Processor
1 Year Manufacturer Warranty"
"Moto Z with Style Mod (Black, 64 GB)","₹39,999","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.97 cm (5.5 inch) Quad HD Display
13MP Rear Camera | 5MP Front Camera
2600 mAh Battery
Qualcomm Snapdragon 820 Quad Core 1.8GHz Processor
Brand Warranty of 1 Year"
"Moto G7 (White, 64 GB)","₹9,999","4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
15.75 cm (6.2 inch) Full HD+ Display
12MP + 5MP | 8MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 632 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto Z with Style Mod (White, 64 GB)","₹39,999","4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
13.97 cm (5.5 inch) Quad HD Display
13MP Rear Camera | 5MP Front Camera
2600 mAh Battery
Qualcomm Snapdragon 820 Quad Core 1.8GHz Processor
Brand Warranty of 1 Year"
"Moto X (White, 16 GB)","₹15,000","2 GB RAM | 16 GB ROM
11.94 cm (4.7 inch) HD Display
10MP Rear Camera | 2MP Front Camera
2200 mAh Li-Ion Battery
Krait CPU <p> The Motorola X8 Mobile Computing System is Comprised of a Qualcomm Snapdragon S4 Pro Family Processor, a Natural Language Processor and a Contextual Computing Processor Processor
1 Year Manufacturer Warranty"
"Moto G5s (Lunar Gray, 32 GB)","₹7,350","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
16MP Rear Camera | 5MP Front Camera
3000 mAh Polymer Battery
Qualcomm Snapdragon 430 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto G5s (Oxford Blue, 32 GB)","₹8,490","4 GB RAM | 32 GB ROM | Expandable Upto 128 GB
13.21 cm (5.2 inch) Full HD Display
16MP Rear Camera | 5MP Front Camera
3000 mAh Polymer Battery
Qualcomm Snapdragon 430 Processor
Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories"
"Moto Z Play with Style Mod (Black, 32 GB)","₹8,990","3 GB RAM | 32 GB ROM | Expandable Upto 2 TB
13.97 cm (5.5 inch) Full HD Display
16MP Rear Camera | 5MP Front Camera
3510 mAh Battery
Qualcomm Snapdragon 625 Octa Core 2GHz Processor
Brand Warranty of 1 Year"
"Moto Z Play with Style Mod (White, 32 GB)","₹12,000","3 GB RAM | 32 GB ROM | Expandable Upto 2 TB
13.97 cm (5.5 inch) Full HD Display
16MP Rear Camera | 5MP Front Camera
3510 mAh Battery
Qualcomm Snapdragon 625 Octa Core 2GHz Processor
Brand Warranty of 1 Year"
"Moto E (2nd Gen) 3G (White, 8 GB)","₹4,999","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
11.43 cm (4.5 inch) quarter HD Display
5MP Rear Camera | 0.3MP Front Camera
2390 mAh Battery
8212 Qualcomm Snapdragon 200 Processor
Brand Warranty of 1 Year"
